nID;sName;sNote
0;;
1;Внешняя;Пользователь переходит по ссылке на услугу, реализованную на сторонней платформе
2;Авторизация;Пользователь проходит верификацию на портале и переходит по ссылке на услугу, реализованную на сторонней платформе
3;Связанная;На сторонней платформе услуга реализована так, что ею можно пользоваться, не покидая Портал (через API)
4;Встроенная;Все этапы услуги реализованы на платформе Портала
