nID;sName;nID_Region;sID_UA
208;П'ятихатки;1;1224510100
209;Рені;21;5124110100
210;Бахмач;28;7420310100
211;Дергачі;24;6322010100
212;Ватутіне;26;7110200000
213;Калинівка;11;521610100
214;Балта;21;5120610100
215;Звенигородка;26;7121210100
216;Зугрес;12;1415070500
217;Скадовськ;6;6524710100
218;Сватове;18;4424010100
219;Шпола;26;7125710100
220;Новоукраїнка;17;3524010100
221;Корсунь-Шевченківський;26;7122510100
222;Лутугине;18;4422210100
223;Білогірськ;10;120710100
224;Долинська;17;3521910100
225;Ізяслав;25;6822110100
226;Білопілля;23;5920610100
227;Богодухів;24;6320810100
228;Сквира;16;3224010100
229;Карлівка;22;5321610100
230;Оріхів;15;2323910100
231;Білозерське;12;1411570500
232;Золоте;18;4423810800
233;Юнокомунарівськ;12;1412070700
234;Підгородне;1;1221411000
235;Роздільна;21;5123910100
236;Городок;25;4620910100
237;Червонопартизанськ;18;4412770600
238;Іловайськ;12;1415070800
239;Бережани;9;6120410100
240;Новогродівка;12;1413600000
241;Вугледар;12;1414800000
242;Березань;16;3210400000
243;Путивль;23;5923810100
244;Болград;21;5121410100
245;Бар;11;520210100
246;Свалява;14;2124010100
247;Богуслав;16;3220610100
248;Гуляйполе;15;2321810100
249;Зміїв;24;6321710100
250;Овруч;13;1824210100
251;Верхньодніпровськ;1;1221010100
252;Очаків;20;4810300000
253;Красногорівка;12;1423310400
254;Ківерці;8;721810100
255;Пирятин;22;5323810100
256;Миколаївка;12;5123555100
257;Часів Яр;12;1410370600
258;Вільнянськ;15;2321510100
259;Дунаївці;25;6821810100
260;Апостолове;1;1220310100
261;Тальне;26;7124010100
262;Арциз;21;5120410100
263;Новий Буг;20;4824510100
264;Тульчин;11;524310100
265;Гайворон;17;3521110100
266;Городок;2;4620910100
267;Гола Пристань;6;6510300000
268;Носівка;28;7423810100
269;Жашків;26;7120910100
270;Городище;26;7120310100
271;Василівка;15;2320910100
272;Кам'янка-Дніпровська;15;2322410100
273;Петровське;18;4411670900
274;Берислав;6;6520610100
275;Снігурівка;20;4825710100
276;Радомишль;13;1825010100
277;Бурштин;3;2610300000
278;Рахів;14;2123610100
279;Новгород-Сіверський;28;7410500000
280;Кам'янка;26;7121810100
281;Тетіїв;16;3224610100
282;Миколаїв;2;4810100000
283;Острог;7;5610900000
284;Зеленодольськ;1;1220310300
285;Вахрушеве;18;4411670300
286;Хорол;22;5324810100
287;Сторожинець;27;7324510100
288;Судак;10;111700000
289;Сіверськ;12;1420910400
290;Корюківка;28;7422410100
291;Біляївка;21;5121010100
292;Гірник;12;4611845300
293;Українка;16;3223110500
294;Нова Одеса;20;4824810100
295;Городня;28;421410100
296;Щастя;18;4423110100
297;Кагарлик;16;3222210100
298;Жданівка;12;1412100000
299;Березне;7;5620410100
300;Теребовля;9;6125010100
301;Винники;2;4610160300
302;Рожище;8;724510100
303;Яворів;2;4625810100
304;Жовква;2;4622710100
305;Тараща;16;3224410100
306;Миронівка;16;3222910100
307;Бершадь;11;520410100
308;Українськ;12;1413870900
309;Збараж;9;6122410100
310;Новомиргород;17;3523810100
311;Узин;16;3220410500
312;Світлодарськ;12;1410970500
313;Соледар;12;1410370300
314;Баштанка;20;4820610100
315;Мала Виска;17;3523110100
316;Ірміно;18;4413170800
317;Барвінкове;24;6320410100
318;Приморськ;15;2324810100
319;Мена;28;7423010100
320;Глобине;22;5320610100
321;Гнівань;11;524510500
322;Комсомольське;12;1424510400
323;Ічня;28;7421710100
324;Новоазовськ;12;1423610100
325;Баранівка;13;1820610100
326;Бучач;9;6121210100
327;Лохвиця;22;5322610100
328;Щорс;28;7425810100
329;Бобринець;17;3520810100
330;Немирів;11;523010100
331;Кобеляки;22;5321810100
332;Родинське;12;1413270600
333;Чигирин;26;7125410100
334;Бобровиця;28;7420610100
335;Соснівка;2;4611870400
336;Жидачів;2;4621510100
337;Ямпіль;11;1423056400
338;Моспине;12;1410160500
339;Борзна;28;7420810100
340;Щолкіне;10;122710500
341;Буринь;23;5920910100
342;Кам'янка-Бузька;2;4622110100
343;Гребінка;22;5320810100
344;Христинівка;26;7124610100
345;Гірське;18;4423810500
346;Таврійськ;6;6510770800
347;Борщів;9;6120810100
348;Зимогір'я;18;4424510300
349;Хотин;27;7325010100
350;Іллінці;11;521210100
351;Помічна;17;3521710300
352;Олевськ;13;1824410100
353;Камінь-Каширський;8;721410100
354;Татарбунари;21;5125010100
355;Погребище;11;523410100
356;Мар'їнка;12;1423310100
357;Болехів;3;2610200000
358;Інкерман;19;8536310300
359;Зіньків;22;5321310100
360;Ходорів;2;4621510500
361;Снятин;3;2625210100
362;Деражня;25;6821510100
363;Любомль;8;723310100
364;Валки;24;6321210100
365;Новодністровськ;27;7310600000
366;Радивилів;7;5625810100
367;Вуглегірськ;12;1420910200
368;Сокиряни;27;7324010100
369;Верхівцеве;1;1221010300
370;Заліщики;9;6122010100
371;Старий Крим;10;121610400
372;Білицьке;12;1411570300
373;Перещепине;1;1223210500
374;Андрушівка;13;1820310100
375;Пустомити;2;4623610100
376;Городенка;3;2621610100
377;Тисмениця;3;2625810100
378;Тячів;14;2124410100
379;Семенівка;28;7424710100
380;Дубровиця;7;5621810100
381;Кодима;21;5122510100
382;Іршава;14;2121910100
383;Березівка;21;5121210100
384;Ананьїв;21;5120210100
385;Монастирище;26;7123410100
386;Липовець;11;522210100
387;Вилкове;21;5122310300
388;Радехів;2;4623910100
389;Мостиська;2;4622410100
390;Артемівськ;18;1410300000
391;Новодружеськ;18;4411870400
392;Червонозаводське;22;5322610600
393;Алупка;10;111970200
394;Горохів;8;720810100
395;Привілля;18;4411870700
396;Чоп;14;2111000000
397;Заставна;27;7321510100
398;Зоринськ;18;4423610600
399;Тлумач;3;2625610100
400;Теплодар;21;5111500000
401;Ланівці;9;6123810100
402;Буськ;2;4620610100
403;Корець;7;5623010100
404;Рогатин;3;2624410100
405;Південне;24;6325111000
406;Дубляни;2;4624255300
407;Ржищів;16;3211300000
408;Новоселиця;27;7323010100
409;Ворожба;23;5920610300
410;Косів;3;2623610100
411;Почаїв;9;6123410500
412;Рава-Руська;2;4622710400
413;Молочанськ;15;2325210100
414;Яремче;3;2611000000
415;Турка;2;4625510100
416;Кіцмань;27;7322510100
417;Перемишляни;2;4623310100
418;Ульяновка;17;3525510100
419;Середина-Буда;23;5924410100
420;Зборів;9;6122610100
421;Хоростків;9;6121611000
422;Остер;28;7422010400
423;Шаргород;11;525310100
424;Перечин;14;2123210100
425;Олександрівськ;18;4410160300
426;Копичинці;9;6121610400
427;Сколе;2;4624510100
428;Артемове;12;1411270300
429;Судова Вишня;2;4622410500
430;Галич;3;2621210100
431;Моршин;2;4610700000
432;Монастириська;9;6124210100
433;Міусинськ;18;4411670600
434;Вашківці;27;7320510400
435;Великі Мости;2;4624810600
436;Чуднів;13;1825810100
437;Дружба;23;7421755300
