nID;sName;nID_PlaceType;sID_UA;sNameOriginal
1;Дніпропетровськ;3;1210100000;
2;Кривий Ріг;3;1211000000;
3;Львів;3;4610100000;
4;Івано-Франківськ;3;2610100000;
5;Калуш;3;2610400000;
6;Київ;3;8000000000;
7;Херсон;3;6510100000;
8;Кузнецовськ;3;5610700000;
9;Луцьк;3;710100000;
10;Тернопіль;3;6110100000;
11;Харків;3;6310100000;
12;Одеса;3;5110100000;
13;Донецьк;3;1410100000;
14;Запоріжжя;3;2310100000;
15;Миколаїв;3;4810100000;
16;Маріуполь;3;1412300000;
17;Луганськ;3;4410100000;
18;Макіївка;3;1413500000;
19;Вінниця;3;510100000;
20;Сімферополь;3;110100000;
21;Полтава;3;5310100000;
22;Чернігів;3;7410100000;
23;Черкаси;3;7110100000;
24;Суми;3;5910100000;
25;Горлівка;3;1410600000;
26;Хмельницький;3;6810100000;
27;Житомир;3;1810100000;
28;Дніпродзержинськ;3;1210400000;
29;Кіровоград;3;3510100000;
30;Рівне;3;5610100000;
31;Чернівці;3;7310100000;
32;Кременчук;3;5310400000;
33;Біла Церква;3;3210300000;
34;Краматорськ;3;1412900000;
35;Мелітополь;3;2310700000;
36;Керч;3;111200000;
37;Нікополь;3;1211600000;
38;Слов'янськ;3;1414100000;
39;Бердянськ;3;2310400000;
40;Сєвєродонецьк;3;4412900000;
41;Алчевськ;3;4411200000;
42;Павлоград;3;1212400000;
43;Ужгород;3;2110100000;
44;Лисичанськ;3;4411800000;
45;Євпаторія;3;110900000;
46;Єнакієве;3;1412000000;
47;Кам'янець-Подільський;3;6810400000;
48;Костянтинівка;3;1412600000;
49;Красний Луч;3;4411600000;
50;Олександрія;3;3520300000;
51;Конотоп;3;5910400000;
52;Стаханов;3;4413100000;
53;Умань;3;7110800000;
54;Бердичів;3;1810400000;
55;Шостка;3;5911000000;
56;Бровари;3;3210600000;
57;Ізмаїл;3;5110600000;
58;Артемівськ;3;1410300000;
59;Мукачеве;3;2110400000;
